NX,NY,Reynolds,np,ComputeTime,CommunicationTime,TotalTime
100,50,100,1,0.079985,0.002544,0.000069
100,50,100,2,0.042553,0.114008,0.000043
100,50,100,4,0.023256,0.198386,0.000030
100,50,100,8,0.015371,0.319256,0.000031
100,50,500,1,0.076206,0.002560,0.000073
100,50,500,2,0.045159,0.098902,0.000055
100,50,500,4,0.023453,0.164578,0.000025
100,50,500,8,0.015851,0.260119,0.000019
100,50,1000,1,0.084840,0.002733,0.000073
100,50,1000,2,0.041335,0.067926,0.000038
100,50,1000,4,0.023633,0.133767,0.000022
100,50,1000,8,0.022067,0.277147,0.000030
200,100,100,1,0.415301,0.004350,0.000298
200,100,100,2,0.203888,0.377835,0.000159
200,100,100,4,0.108569,0.548996,0.000095
200,100,100,8,0.066910,0.785039,0.000085
200,100,500,1,0.330170,0.002771,0.000385
200,100,500,2,0.174139,0.359987,0.000182
200,100,500,4,0.109228,0.711032,0.000119
200,100,500,8,0.070285,1.061071,0.000078
200,100,1000,1,0.366101,0.003122,0.000290
200,100,1000,2,0.190500,0.438740,0.000187
200,100,1000,4,0.104002,0.774241,0.000088
200,100,1000,8,0.094346,1.369974,0.000112
400,200,100,1,1.517720,0.005888,0.001227
400,200,100,2,0.952960,0.311213,0.000690
400,200,100,4,0.522709,0.522744,0.000507
400,200,100,8,0.366278,0.869465,0.000342
400,200,500,1,2.303807,0.009155,0.001368
400,200,500,2,1.228923,2.142855,0.001188
400,200,500,4,0.518145,3.036954,0.000688
400,200,500,8,0.282960,3.945377,0.000433
400,200,1000,1,1.375110,0.004909,0.001205
400,200,1000,2,0.806436,1.237486,0.000956
400,200,1000,4,0.438109,2.353941,0.000376
400,200,1000,8,0.261311,3.442323,0.000308
800,400,100,1,5.357703,0.005422,0.004633
800,400,100,2,3.559518,1.027766,0.003279
800,400,100,4,3.191526,1.569526,0.002976
800,400,100,8,3.032506,2.384089,0.002970
800,400,500,1,5.324020,0.005475,0.005158
800,400,500,2,3.310412,5.166771,0.002822
800,400,500,4,3.209304,9.386421,0.002953
800,400,500,8,3.020625,14.164545,0.003186
800,400,1000,1,5.493475,0.005694,0.006261
800,400,1000,2,3.338110,14.261369,0.002837
800,400,1000,4,3.147243,11.617235,0.004077
800,400,1000,8,2.910209,14.274234,0.003088
