N,np,ComputeTime,CommunicationTime,TotalTime,Iterations
128,1,0.000996,0.000045,0.001057,9
128,2,0.000973,0.006129,0.006795,9
128,4,0.008170,0.026892,0.034857,9
128,8,0.083008,0.463604,0.463986,9
128,16,0.020019,2.687905,2.776013,9
128,32,0.063742,3.537295,3.643682,9
128,64,0.025067,0.083512,0.084311,9
256,1,0.002089,0.000180,0.002283,8
256,2,0.033229,0.367472,0.368721,8
256,4,0.076618,1.150076,1.150728,8
256,8,0.019647,0.058827,0.067007,8
256,16,0.083835,2.055929,2.104261,8
256,32,0.074838,2.327217,2.383459,8
256,64,0.017574,0.366977,0.379012,8
512,1,0.006994,0.000702,0.007715,7
512,2,0.009780,0.004692,0.014430,7
512,4,0.018153,0.082291,0.124175,7
512,8,0.018102,0.041397,0.058804,7
512,16,0.074452,2.046324,2.061905,7
512,32,0.176237,3.819656,3.860042,7
512,64,0.007403,0.204531,0.206000,7
1024,1,0.097155,0.011000,0.108294,7
1024,2,0.034283,0.096793,0.131116,7
1024,4,0.043608,0.161356,0.204542,7
1024,8,0.076204,0.085387,0.159142,7
1024,16,0.053401,2.274747,2.328438,7
1024,32,0.134117,3.927832,3.947971,7
1024,64,0.017962,0.504910,0.517593,7
2048,1,0.300135,0.024716,0.324895,6
2048,2,0.142223,0.049279,0.191530,6
2048,4,0.134261,0.838376,0.921339,6
2048,8,0.034678,1.631459,1.677393,6
2048,16,0.042707,1.661492,1.712159,6
2048,32,0.127271,2.331067,2.393726,6
2048,64,0.008010,0.371060,0.381639,6
4056,1,0.532642,0.070169,0.602895,6
4056,2,0.462662,0.169118,0.631620,6
4056,4,0.201778,0.814753,0.960619,6
4056,8,0.175285,0.787123,0.956506,6
4056,16,0.156663,2.435641,2.544138,6
4056,32,0.096342,3.091404,3.173803,6
4056,64,0.013254,0.545559,0.563892,6
8112,1,2.682763,0.372640,3.055437,5
8112,2,1.304741,0.583243,1.887851,5
8112,4,0.818246,0.828468,1.646516,5
8112,8,0.624486,1.896929,2.476403,5
8112,16,0.278317,3.112137,3.364454,5
8112,32,0.601259,7.981984,8.198133,5
8112,64,0.116121,0.820722,0.933131,5
16224,1,5.698665,0.660270,6.358960,5
16224,2,3.949524,1.334697,5.260279,5
16224,4,2.583163,1.695154,4.302783,5
16224,8,2.272907,3.326141,5.552692,5
16224,16,1.661221,5.172087,6.817439,5
16224,32,1.436308,12.694702,13.604006,5
16224,64,0.363836,3.336397,3.655982,5
